STREET,DISTRICT,WARD,FROM,TO,,,,
VICTORIA STREET,CALVERLEY,CALVERLEY AND FARSLEY,THORNHILL STREET,HOLLIN PARK ROAD,,,,
VICTORIA STREET,WETHERBY,WETHERBY,HIGH STREET,GREENFOLD LANE,,,,
WADE LANE,CENTRAL,CITY AND HUNSLET,Merrion Street,Merrion Way,,,,
WADE LANE,CENTRAL,CITY AND HUNSLET,MERRION STREET,LOVELL PARK ROAD,,,,
WAKEFIELD ROAD,GARFORTH,GARFORTH AND SWILLINGTON,MAIN STREET,SELBY ROAD,,,,
WAKEFIELD ROAD,GARFORTH,GARFORTH AND SWILLINGTON,BARLEYHILL ROAD,ALLENDALE CRESCENT,,,,
WAKEFIELD ROAD,SWILLINGTON,GARFORTH AND SWILLINGTON,SELBY ROAD,JUNCTION WITH ABERFORD ROAD AND BULLERTHORPE LANE,,,,
WAKEFIELD ROAD,GILDERSOME,MORLEY NORTH,A643 - HOWDEN CLOUGH ROAD / BRUNTCLIFFE LANE JUNCTION,A62 - GELDERD ROAD ROUNDABOUT,,,,
WAKEFIELD ROAD,OULTON,ROTHWELL,JUNCTION WITH LEEDS ROAD AND METHLEY LANE,ABERFORD ROAD,,,,
WAKEFIELD ROAD,HUNSLET,CITY AND HUNSLET,STOURTON ROUNDABOUT (M621),LEEDS ROAD / MATTY LANE (ROTHWELL),,,,
WAKEFIELD ROAD,HUNSLET,CITY AND HUNSLET,THWAITE GATE,STURTON ROUNDABOUT (M621),,,,
WAKEFIELD ROAD,DRIGHLINGTON,MORLEY NORTH,DRIGHLINGTON BY-PASS - A650,KING STREET,,,,
WALKERGATE,OTLEY,OTLEY AND YEADON,BOROUGHGATE,NELSON STREET,,,,
WALKERS ROW,YEADON,GUISELEY AND RAWDON,KIRK LANE,SWINCAR AVENUE,,,,
WALTON ROAD,WETHERBY,WETHERBY,HORSEFAIR,WETHERBY ROAD,,,,
WARM LANE,YEADON,GUISELEY AND RAWDON,APPERLEY LANE,A.U.D.C BOUNDARY,,,,
WARREN HOUSE LANE,YEADON,OTLEY AND YEADON,VICTORIA AVENUE,CEMETERY ROAD,,,,
WATER LANE,HOLBECK,CITY AND HUNSLET,JUNCTION WITH HOLBECK LANE AND BRIDGE ROAD,NEVILLE STREET/ VICTORIA ROAD,,,,
WATER LANE,CENTRAL,CITY AND HUNSLET,MEADOW LANE,WEST TO END,,,,
WATER LANE,FARNLEY,FARNLEY AND WORTLEY,WOOD LANE,BUTT LANE,,,,
WATERGATE,METHLEY,KIPPAX AND METHLEY,NEWMARKET LANE / PARK LANE,CHURCHSIDE / BARNSDALE ROAD (A.639),,,,
WATERLOO LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,UPPER TOWN STREET,BROAD LANE,,,,
WATERLOO ROAD,PUDSEY,PUDSEY,UPPERMOOR,GALLOWAY LANE,,,,
WATTLESYKE,COLLINGHAM,HAREWOOD,WETHERBY ROAD,A1,,,,
WEARDLEY LANE,HAREWOOD,HAREWOOD,HIGH WEARDLEY LANE,OTLEY ROAD,,,,
WEETWOOD LANE,WEETWOOD,WEETWOOD,OTLEY ROAD,HARROGATE ROAD,,,,
WELL HILL,YEADON,OTLEY AND YEADON,WELL LANE,IVEGATE,,,,
WELLINGTON BRIDGE STREET,CENTRAL,CITY AND HUNSLET,WELLINGTON ROAD (A.58 INNER RING ROAD),WEST TO ROUNDABOUT NORTH TO KIRKSTALL ROAD,,,,
WELLINGTON GROVE,BRAMLEY,BRAMLEY AND STANNINGLEY,BROAD LANE,WOOD LANE,,,,
WELLINGTON HILL,THORNER,HAREWOOD,WHINMOOR LANE,COAL ROAD,,,,
WELLINGTON ROAD,HOLBECK,ARMLEY,WELINGTON STREET,TONG ROAD,,,,
WELLINGTON ROAD,HOLBECK,ARMLEY,WELINGTON STREET,TONG ROAD,,,,
WELLINGTON STREET,CENTRAL,CITY AND HUNSLET,CITY SQUARE,KIRKSTALL ROAD,,,,
WELLINGTON STREET,CENTRAL,CITY AND HUNSLET,START OF DUAL C/W OUTBOUND (AROUND WEST STREET CAR PARK),END OF DUAL C/W INBOUND,,,,
WELLINGTON STREET,MORLEY,MORLEY SOUTH,QUEENSWAY,QUEEN STREET,,,,
WENTWORTH AVENUE,MOORTOWN,ALWOODLEY,NURSERY LANE,TURNBERRY AVENUE,,,,
WESLEY ROAD,ARMLEY,ARMLEY,TOWN STREET,TONG ROAD,,,,
WESLEY STREET,FARSLEY,CALVERLEY AND FARSLEY,TOWN STREET,SPRINGBANK ROAD,,,,
WESLEY STREET,BEESTON,BEESTON AND HOLBECK,TOWN STREET BEESTON,ELLAND ROAD,,,,
WEST BUSK LANE,OTLEY,OTLEY AND YEADON,DUNCAN AVENUE,BRADFORD ROAD,,,,
WEST CHEVIN ROAD,OTLEY,OTLEY AND YEADON,BRADFORD ROAD,JUNCTION WITH WINDMILL LANE BUCKLE LANE AND CHEVIN END ROAD,,,,
WEST END LANE,HORSFORTH,HORSFORTH,HALL LANE 98,BAYTON LANE / LAYTON ROAD,,,,
WEST END RISE,HORSFORTH,HORSFORTH,HALL LANE,WEST END LANE,,,,
WEST GRANGE DRIVE,HUNSLET,MIDDLETON PARK,BELLE ISLE ROAD,OLD RUN ROAD,,,,
WEST PARK DRIVE WEST,ROUNDHAY,ROUNDHAY,SPEN ROAD,NORTH WEST,,,,
WEST STREET,CENTRAL,CITY AND HUNSLET,KIRKSTALL ROAD,WEST STREET CAR PARK SLIP ROAD,,,,
WEST STREET,CENTRAL,CITY AND HUNSLET,WEST STREET CAR PARK SLIP ROAD,PARK LANE,,,,
WEST VILLA ROAD,GUISELEY,GUISELEY AND RAWDON,OXFORD ROAD,KELLCLIFFE LANE,,,,
WESTBOURNE GROVE,GARFORTH,GARFORTH AND SWILLINGTON,RINGWAY,KINGSWAY,,,,
WESTBROOK LANE,HORSFORTH,HORSFORTH,BROWNBERRIE LANE,JUNCTION WITH ST MARGARETS ROAD LEE LANE EAST AND LEE LANE,,,,
WESTDALE ROAD,PUDSEY,CALVERLEY AND FARSLEY,LODGE ROAD,HIGHFIELD GREEN,,,,
WESTERTON ROAD,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,SYKE ROAD,BRADFORD ROAD,,,,
WESTFIELD AVENUE,YEADON,GUISELEY AND RAWDON,NEW ROAD,GREENLEA ROAD,,,,
WESTFIELD LANE,KIPPAX,KIPPAX AND METHLEY,GREEN LANE,LEEDS ROAD,,,,
WESTFIELD ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODSLEY ROAD,BURLEY ROAD,,,,
WESTFIELD ROAD,CARLTON,ARDSLEY AND ROBIN HOOD,LEADWELL LANE (A654),CHAPEL STREET / QUEEN STREET,,,,
WESTGATE,CENTRAL,CITY AND HUNSLET,WEST SIDE OXFORD PLACE,WELLINGTON ROAD,,,,
WESTGATE,WETHERBY,WETHERBY,MARKET PLACE,LINTON ROAD / SPOFFORTH HILL JUNCTION,,,,
WESTGATE,OTLEY,OTLEY AND YEADON,BEECH HILL,JUNCTION WITH ILKLEY ROAD AND PIPER LANE,,,,
WESTLAND ROAD,BEESTON,BEESTON AND HOLBECK,DEWSBURY ROAD,WESTLAND SQUARE,,,,
WESTLAND SQUARE,BEESTON,BEESTON AND HOLBECK,WESTLAND ROAD,LOOP,,,,
WESTON DRIVE,OTLEY,OTLEY AND YEADON,MEAGILL RISE,WESTON LANE,,,,
WESTON LANE,OTLEY,OTLEY AND YEADON,CITY BOUNDARY,NEWALL CARR ROAD,,,,
WESTWOOD SIDE,CHURWELL,MORLEY NORTH,ELLAND ROAD,VICTORIA ROAD,,,,
WESTWOOD WAY,BOSTON SPA,WETHERBY,Primrose Lane,High Street,,,,
WETHERBY ROAD,WALTON,WETHERBY,MOOR ROAD,WIGHILL LANE,,,,
WETHERBY ROAD,BARDSEY,HAREWOOD,COAL ROAD,LEEDS ROAD,,,,
WETHERBY ROAD,BRAMHAM,WETHERBY,MILNTHORPE LANE, FRONT STREET,,,,
WETHERBY ROAD,SCARCROFT,KILLINGBECK AND SEACROFT,EASTERLY ROAD,RING ROAD ROUNDABOUT,,,,
WETHERBY ROAD,ROUNDHAY,ROUNDHAY,ROUNDHAY ROAD,EASTERLEY ROAD,,,,
WETHERBY ROAD,COLLINGHAM,WETHERBY,JUNCTION OF MAIN STREET AND CHURCH LANE,BOSTON ROAD,,,,
WETHERBY ROAD,SCARCROFT,KILLINGBECK AND SEACROFT,RING ROAD ROUNDABOUT,WHINMOOR LANE,,,,
WHARFE BANK,COLLINGHAM,HAREWOOD,JUNCTION HILLCREST,NORTH TO END,,,,
WHINCOVER DRIVE,FARNLEY,FARNLEY AND WORTLEY,BUTTERBOWL PartIVE,RING ROAD LOWER WORTLEY,,,,
WHINGATE,ARMLEY,ARMLEY,WHINGATE ROAD,TONG ROAD,,,,
WHINGATE,ARMLEY,ARMLEY,HILL TOP ROAD,WHINGATE ROAD,,,,
WHINGATE ROAD,ARMLEY,ARMLEY,HEIGHTS DRIVE,WHINGATE,,,,
WHITE HOUSE LANE,YEADON,OTLEY AND YEADON,DEAN LANE,JUNCTION WITH HARROGATE ROAD WARREN HOUSE LANE AND VICTORIA AVENUE,,,,
WHITE LAITHE ROAD,WHINMOOR,CROSS GATES AND WHINMOOR,COAL ROAD,SHERBURN ROAD NORTH,,,,
WHITECOTE HILL,BRAMLEY,BRAMLEY AND STANNINGLEY,BROAD LANE,LEEDS BRADFORD ROAD,,,,
WHITEGATE,EAST KESWICK,HAREWOOD,MOOR LANE,CRABTREE LANE,,,,
WHITEHALL ROAD,LEEDS,FARNLEY AND WORTLEY,GELDERD ROAD ROUNDABOUT,LAWNS LANE,,,,
WHITEHALL ROAD,LEEDS,FARNLEY AND WORTLEY,JUNCTION WITH THIRSK ROW AIRE STREET AND WHITEHALL QUAY,SPENCE LANE,,,,
WHITEHALL ROAD,LEEDS,FARNLEY AND WORTLEY,Lawns Lane,Leeds Bypass,,,,
WHITEHOUSE LANE,SWILLINGTON,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD,JUNCTION WITH BERRY LANE AND PRESTON LANE,,,,
WHITKIRK LANE,AUSTHORPE,TEMPLE NEWSAM,RING ROAD HALTON,AUSTHORPE LANE,,,,
WIDE LANE,MORLEY,MORLEY SOUTH,MIDDLETON ROAD,DEWSBURY ROAD,,,,
WIGHILL LANE,THORP ARCH,WETHERBY,JUNCTION OF WETHERBY ROAD AND WALTON ROAD,CHURCH LANE,,,,
WIGTON LANE,ALWOODLEY,ALWOODLEY,WIKE RIDGE LANE,HARROGATE ROAD,,,,
WIKE LANE,WIKE,HAREWOOD,FORTSHOT LANE,HARROGATE ROAD,,,,
WIKE LANE,EAST KESWICK,HAREWOOD,MAIN STREET,BACKSTONE GILL LANE,,,,
WIKE RIDGE LANE,ALWOODLEY,HAREWOOD,SHADWELL LANE,WIGTON LANE,,,,
WIKE RIDGE LANE,ALWOODLEY,HAREWOOD,WIGTON LANE,BACKSTONE GILL LANE,,,,
WILLOW LANE,CLIFFORD,WETHERBY,CLIFFORD MOOR ROAD,BRAMHAM ROAD,,,,
WILLOW ROAD,BURLEY,HYDE PARK AND WOODHOUSE,SLIP ROADS ONLY,,,,,
WILLOW ROAD,BURLEY,HYDE PARK AND WOODHOUSE,KIRKSTALL ROAD,BURLEY ROAD,,,,
WINDMILL LANE,GUISELEY,GUISELEY AND RAWDON,CHEVIN END ROAD (184439) / BUCK LANE,MOOR TOP (189438),,,,
WINDMILL ROAD,BELLE ISLE,MIDDLETON PARK,MIDDLETON ROAD,BELLE ISLE ROAD,,,,
WINROSE DRIVE,BELLE ISLE,MIDDLETON PARK,BELLE ISLE CIRCUS,NEWHALL ROAD,,,,
WINROSE GROVE,BELLE ISLE,MIDDLETON PARK,BELLE  ISLE CIRCUS,MIDDLETON ROAD,,,,
WOOD HILL ROAD,COOKRIDGE,ADEL AND WHARFEDALE,TINSHILL ROAD,GREEN LANE,,,,
WOOD LANE,ROTHWELL,ROTHWELL,HAIGH ROAD,CHURCH STREET,,,,
WOOD LANE,ROTHWELL,ROTHWELL,WAKEFIELD ROAD (A61),HAIGH ROAD,,,,
WOOD LANE,GREAT PRESTON,GARFORTH AND SWILLINGTON,PRESTON LANE,QUEEN STREET,,,,
WOOD LANE,BARDSEY,HAREWOOD,WETHERBY ROAD A.58 (369432),MILL LANE (372435),,,,
WOOD LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,BROAD LANE,WELLINGTON GROVE,,,,
WOOD LANE,HEADINGLEY,HEADINGLEY,GROVE ROAD,WOODLAND PARK ROAD,,,,
WOODACRE LANE,BARDSEY,HAREWOOD,C.114,C.301,,,,
WOODHALL DRIVE,KIRKSTALL,KIRKSTALL,VESPER ROAD,ABBEYDALE MOUNT,,,,
WOODHALL LANE,PUDSEY,CALVERLEY AND FARSLEY,BRADFORD ROAD,WOODHALL ROAD,,,,
WOODHALL ROAD,CALVERLEY,CALVERLEY AND FARSLEY,WOODHALL LANE,TOWN GATE,,,,
WOODHOUSE HILL ROAD,HUNSLET,CITY AND HUNSLET,BALM ROAD,PEPPER ROAD,,,,
WOODHOUSE LANE,WOODHOUSE,HYDE PARK AND WOODHOUSE,BLACKMAN LANE,ALBION STREET,,,,
WOODHOUSE LANE,WOODHOUSE,HYDE PARK AND WOODHOUSE,BLACKMAN LANE,HEADINGLEY LANE,,,,
WOODHOUSE LANE,EAST ARDSLEY,ARDSLEY AND ROBIN HOOD,BATLEY ROAD,BRADFORD ROAD,,,,
WOODHOUSE SQUARE,WOODHOUSE,HYDE PARK AND WOODHOUSE,CLARENDON ROAD,HANOVER LANE,,,,
WOODHOUSE STREET,WOODHOUSE,HYDE PARK AND WOODHOUSE,CAMBRIDGE ROAD,HYDE PARK CORNER,,,,
WOODLAND HILL,WHITKIRK,TEMPLE NEWSAM,WILFRID AVENUE,GREEN LANE,,,,
WOODLAND LANE,CHAPEL ALLERTON,CHAPEL ALLERTON,HARROGATE ROAD,GLEDHOW LANE,,,,
WOODLAND PARK ROAD,HEADINGLEY,HEADINGLEY,WOOD LANE,GROVE LANE,,,,
WOODNOOK DRIVE,HORSFORTH,WEETWOOD,TINSHILL LANE,HAIGH WOOD ROAD,,,,
WOODSLEY ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,BURLEY ROAD,CLARENDON ROAD,,,,
WOODVIEW ROAD,BEESTON,CITY AND HUNSLET,TEMPEST ROAD,COLWYN ROAD,,,,
WORTLEY LANE,HOLBECK,BEESTON AND HOLBECK,GELDERD ROAD,DOMESTIC STREET,,,,
WORTLEY MOOR LANE,UPPER WORTLEY,FARNLEY AND WORTLEY,WORTLEY MOOR ROAD,SOUTH - SOUTH WEST TO END,,,,
WORTLEY MOOR ROAD,UPPER WORTLEY,FARNLEY AND WORTLEY,TONG ROAD,UPPER WORTLEY ROAD,,,,
WORTLEY ROAD,ARMLEY,ARMLEY,WHINGATE,TOWN STREET ARMLEY,,,,
WRENBECK DRIVE,OTLEY,OTLEY AND YEADON,FARNLEY LANE,THE CROSSWAYS,,,,
WYKEBECK VALLEY ROAD,OSMONDTHORPE,GIPTON AND HAREHILLS,YORK ROAD,OAKWOOD LANE,,,,
WYNYARD DRIVE,MORLEY,MORLEY SOUTH,BRUNTCLIFFE LANE,CORPORATION STREET,,,,
WYTHER LANE,BRAMLEY,ARMLEY,ARMLEY RIDGE ROAD / LEEDS & BRADFORD ROAD,RAYNVILLE ROAD / BRIDGE ROAD,,,,
YORK GATE,OTLEY,GUISELEY AND RAWDON,MOOR TOP,EAST CHEVIN ROAD,,,,
YORK ROAD,WETHERBY,WETHERBY,MAIN STREET ( A661 ),LEEDS CITY BOUNDARY - B1224,,,,
YORK ROAD,SCHOLES,HAREWOOD,THORNER LANE,LEEDS  CITY BOUNDARY,,,,
YORK ROAD,WHINMOOR,CROSS GATES AND WHINMOOR,STAKIS HOTEL ROUNDABOUT,THORNER LANE INCLUDING SERVICE ROADS,,,,
YORK ROAD,BURMANTOFTS,KILLINGBECK AND SEACROFT,IVY STREET,MARSH LANE ( INBOUND) + BUS LANES,,,,
YORK ROAD,BURMANTOFTS,KILLINGBECK AND SEACROFT,WESTERN END OF A64 (M) (AT MARSH LANE),RING ROAD A6120 / BARWICK ROAD ROUNDABOUT,,,,
YORK STREET,CENTRAL,CITY AND HUNSLET,NEW YORK STREET,EAST CHURCH LANE,,,,
